split,sid,score,sentence1,sentence2
train,50,1.4,USIM을 핸드폰 안에 넣고 전원을 켜주세요,유심을 구매해주세요
train,51,4.6,5G는 새로운 통신기술이다.,5세대 이동통신은 현재 최신기술이다.
train,52,4.6,핫스팟으로 친구들과 데이터를 같이 사용했다.,내 핸드폰의 데이터로 친구들과 함께 인터넷을 이용했다.
train,53,4.4,테더링을 사용했다.,노트북에 핸드폰을 연결하여 핸드폰 데이터로 인터넷에 접속했다.
train,54,4.6,무선 테더링을 이용했다.,핫스팟으로 노트북과 연결했다.
train,55,3.2,요금청구서가 왔는데 납부는 어디서 하나요?,은행에서 납부해주세요.
train,56,0.2,핸드폰으로 테더링을 하고 싶어요,요금을 미납하여 연체금이 생겼어요
train,57,3.6,데이터를 친구랑 공유하는 것은 테더링이라고 한다.,테더링은 통신망을 이용하여 다른 기기로 인터넷을 공용하는 기술이다.
train,58,0.4,핸드폰을 구매하고 싶어요,노트북으로 wifi가 안 잡혀요
train,59,0.0,교통카드를 이용하고 싶어요,데이터를 충전하고 싶어요.
train,60,4.8,5G는 모바일 통신의 제 5세대를 의미합니다. ,5G는 5세대 통신이다.
train,61,5.0,개통을 혼자서 해냈습니다.,셀프 개통에 성공했습니다.
train,62,3.8,5G 통신은 매우 빠릅니다.,5G는 다섯번째 세대 통신기술로 보다 빠른 통신 기술입니다.
train,63,4.2,"휴대전화의 모바일 데이터를 사용하여 다른 스마트폰, 태블릿, 컴퓨터를 인터넷에 연결할 수 있습니다.", 테더링 또는 핫스팟을 이용하여 다른 기기에도 인터넷을 연결할 수 있습니다.
train,64,1.8,5G 전용 유심을 구매해야 5G를 이용할 수 있나요?,LTE요금제로 약정맺고싶어요.
train,65,1.6,청소년도 유심 구매 가능한가요?,미성년자는 필요한 서류가 더 있나요?
train,66,3.8,교통카드,교통카드가 안되요
train,67,4.6,핫스팟,핸드폰으로 다른 핸드폰이나 노트북에게 wifi로 연결하여 인터넷을 이용할 수 있게 만드는 기술
train,68,4.8,wifi가 너무 느려요,wifi가 안되요
train,69,2.2,데이터를 다른 사람과 공유하고 싶어요,핫스팟을 키고 싶어요
train,70,2.2,데이터를 다른 기기와 연결하고 싶어요,데이터쉐어링이 안되요
train,71,1.4,5G는 LTE보다 빠르다,wifi로 인터넷에 접속해보자
train,72,1.2,5G요금제와 LTE요금제는 가격이 다른가요?,요금청구서를 메일로 받을 수 있나요?
train,73,0.4,핸드폰이 안켜져요,핫스팟으로 연결이 안되요
train,74,0.6,미성년자는 유심을 어디서 구입해야하나요?,미성년자는 요금제가 다른가요?
train,75,1.0,wifi로 연결하면 데이터가 나가 요금이 청구되나요?,핫스팟으로 연결하려면 어느 요금제를 사용해야 하나요?
train,76,4.5,데이터를 다른 핸드폰에 주고 싶어요,데이터쉐어링을 하고 싶어요
train,77,2.2,wifi로 동영상을 보는데 자꾸 끊겨요,5G가 잘 안터져요
train,78,0.2,LTE유심으로도 5G요금제를 사용할 수 있나요?,교통카드 기능을 사용하고 싶어요
train,79,0.6,셀프 개통하는데 문제가 있습니다. ,테더링이 안되요
train,80,3.2,5G를 사용하는데 테더링을 할 수 있나요?,다른 기기와 인터넷을 공유할 수 있나요?
train,81,1.4,사진을 공유하고 싶어요,데이터를 공유하고 싶어요
train,82,0.8,파일 다운로드가 안되요,핫스팟으로 연결하고 싶어요
train,83,0.4,USIM 연결이 안되요,버스에서 교통카드 기능이 작동되지 않아요
train,84,5.0,wifi,무선 네트워크
train,85,2.8,카카오톡 메세지 전송이 안되요,통화 연결이 안되요
train,86,3.8,동영상 업로드가 안되요,데이터가 자꾸 끊겨요
train,87,0.2,통화 품질이 불량해요,테더링은 어떻게 하나요
train,88,0.2,미성년자는 교통카드 기능을 사용할 수 없나요?,다른 사람들과 사진이나 동영상을 공유하고 싶어요
train,89,4.4,USIM 구매는 어디서 가능하나요?,개통을 하고 싶어요
train,90,3.6,USIM이 연결이 안되요,통화가 안되요
dev,91,1.8,wifi가 자꾸 꺼져요,5G가 잘 안 터져요
dev,92,2.0,미성년자 전용 USIM이 있나요?,미성년자는 유심을 어디서 구매할 수 있나요?
dev,93,4.8,노트북과 인터넷을 공유하고 싶어요,테더링을 하는 방법이 있나요?
dev,94,0.8,동영상이 자꾸 끊겨요,wifi가 안되요
dev,95,4.8,테더링,핫스팟
dev,96,0.6,교통카드 사용이 불가능해요,데이터를 공유하는 방법이 있나요?
dev,97,2.0,5G 전용 USIM이 있나요?,USIM은 어디서 구매가 가능하나요?
dev,98,0.6,요금청구서 우편이 안 와요,교통카드 기능을 쓰고싶어요
dev,99,1.2,wifi 연결이 안 되요,데이터쉐어링을 할 수 있나요?
dev,100,4.8,데이터쉐어링은 어떻게 하나요?,제가 가진 핸드폰의 데이터를 다른 기종의 핸드폰에게 전달하고 싶어요
